E,f1,f2,PE,C+i,Total,K,lambda
2.080733,11.3134,0.37279,243.41,2.2187,245.63,0.0,0.5959
2.10259,10.8633,0.36641,236.76,2.2115,238.97,0.0,0.5897
2.134772,9.28431,0.35735,227.42,2.2008,229.62,0.0,0.5808
2.143354,7.39192,0.355,225.02,2.198,227.22,0.0,0.5785
2.156227,9.29308,4.0785,2569.8,2.1937,2572.0,2348.0,0.575
2.18841,11.0202,4.0118,2490.6,2.1829,2492.8,2278.0,0.5665
2.224304,11.8112,3.9399,2406.5,2.1707,2408.7,2202.0,0.5574
2.377781,13.2998,3.5859,2048.9,2.1182,2051.0,1878.0,0.5214
2.541848,14.0078,3.2218,1722.0,2.0616,1724.1,1578.0,0.4878
2.717235,14.4377,2.887,1443.5,2.0014,1445.5,1323.0,0.4563
2.904724,14.725,2.5936,1213.1,1.9383,1215.0,1112.0,0.4268
3.10515,14.9354,2.3262,1017.8,1.8725,1019.7,934.1,0.3993
3.319406,15.0821,2.0806,851.56,1.8048,853.36,782.4,0.3735
3.548445,15.1854,1.8611,712.57,1.7355,714.31,655.3,0.3494
3.793288,15.2583,1.664,595.97,1.6653,597.64,548.9,0.3269
4.055024,15.3093,1.4879,498.49,1.5944,500.08,459.7,0.3058
4.334821,15.3912,1.3284,416.34,1.5234,417.86,384.4,0.286
4.633924,15.4105,1.1761,344.81,1.4526,346.26,318.5,0.2676
4.953664,15.4155,1.0413,285.58,1.3825,286.96,263.9,0.2503
5.295467,15.4114,0.92199,236.54,1.3134,237.85,218.6,0.2341
5.660855,15.4013,0.8164,195.93,1.2456,197.18,181.1,0.219
6.051453,15.3871,0.72293,162.3,1.1793,163.48,150.1,0.2049
6.469004,15.3703,0.6402,134.45,1.1149,135.56,124.3,0.1917
6.915365,15.3519,0.56693,111.38,1.0526,112.43,103.0,0.1793
7.392525,15.3326,0.50207,92.268,0.99245,93.26,85.35,0.1677
7.902609,15.3133,0.44464,76.44,0.93467,77.375,70.71,0.1569
8.44789,15.2943,0.3938,63.33,0.87935,64.209,58.58,0.1468
9.030794,15.2766,0.34826,52.391,0.82659,53.218,48.47,0.1373
9.653919,15.259,0.30528,42.962,0.77642,43.738,39.77,0.1284
10.32004,15.2404,0.26689,35.135,0.72889,35.864,32.53,0.1201
11.03212,15.222,0.23334,28.735,0.68399,29.419,26.61,0.1124
11.79334,15.2041,0.20401,23.502,0.64171,24.144,21.76,0.1051
12.60708,15.187,0.17838,19.222,0.60201,19.824,17.8,0.09834
13.47697,15.171,0.15596,15.722,0.56483,16.287,14.56,0.092
14.40688,15.1559,0.13637,12.86,0.53012,13.39,11.91,0.08606
15.40095,15.1419,0.11924,10.519,0.49779,11.017,9.741,0.0805
16.46362,15.129,0.10427,8.6043,0.46775,9.0721,7.968,0.07531
17.59961,15.117,0.091177,7.0383,0.4399,7.4782,6.517,0.07045
18.81398,15.1061,0.079731,5.7575,0.41414,6.1716,5.331,0.0659
20.11215,15.096,0.069723,4.7098,0.39036,5.1002,4.36,0.06165
21.49988,15.0869,0.060972,3.8528,0.36845,4.2213,3.567,0.05767
22.98338,15.0785,0.053321,3.1519,0.3483,3.5002,2.917,0.05395
24.56923,15.071,0.04663,2.5785,0.32979,2.9083,2.386,0.05046
26.2645,15.0642,0.04078,2.1094,0.31282,2.4222,1.952,0.04721
28.07676,15.0579,0.035454,1.7155,0.29726,2.0128,1.587,0.04416
30.01405,15.0521,0.030764,1.3925,0.28302,1.6755,1.289,0.04131
32.08502,15.0469,0.026694,1.1303,0.26999,1.4003,1.046,0.03864
34.29889,15.0421,0.023164,0.91751,0.25807,1.1756,0.8492,0.03615
36.66551,15.0377,0.0201,0.74477,0.24716,0.99193,0.6893,0.03381
39.19543,15.0338,0.017442,0.60456,0.23717,0.84173,0.5596,0.03163
41.89992,15.0303,0.015135,0.49075,0.22802,0.71877,0.4543,0.02959
44.79101,15.0271,0.013134,0.39837,0.21963,0.618,0.3688,0.02768
47.88159,15.0242,0.011368,0.32254,0.21192,0.53446,0.2985,0.02589
51.18542,15.0216,0.0098273,0.26084,0.20482,0.46566,0.2413,0.02422
