E,f1,f2,PE,C+i,Total,K,lambda
2.080733,12.5086,3.5283,2540.7,2.1275,2542.8,2342.0,0.5959
2.224304,13.132,3.1614,2129.5,2.0813,2131.6,1964.0,0.5574
2.377781,13.5165,2.8224,1778.5,2.0309,1780.5,1640.0,0.5214
2.541848,13.772,2.5325,1492.8,1.9765,1494.8,1377.0,0.4878
2.717235,13.9567,2.2762,1255.1,1.9188,1257.0,1158.0,0.4563
2.904724,14.0941,2.0459,1055.3,1.8583,1057.2,974.1,0.4268
3.10515,14.1991,1.8323,884.13,1.7954,885.93,817.0,0.3993
3.319406,14.2699,1.6363,738.59,1.7306,740.32,683.5,0.3735
3.548445,14.3185,1.4614,617.06,1.6643,618.72,571.7,0.3494
3.793288,14.3972,1.2999,513.45,1.5972,515.05,476.2,0.3269
4.055024,14.4122,1.1509,425.24,1.5295,426.77,394.5,0.3058
4.334821,14.4148,1.019,352.2,1.4617,353.66,326.9,0.286
4.633924,14.4092,0.90223,291.72,1.3941,293.11,270.8,0.2676
4.953664,14.398,0.7989,241.64,1.3272,242.97,224.4,0.2503
5.295467,14.383,0.70743,200.16,1.2613,201.42,185.9,0.2341
5.660855,14.3657,0.62644,165.8,1.1967,167.0,154.1,0.219
6.051453,14.347,0.55475,137.35,1.1336,138.48,127.6,0.2049
6.469004,14.3275,0.49128,113.79,1.0722,114.86,105.8,0.1917
6.915365,14.308,0.43509,94.267,1.0128,95.28,87.63,0.1793
7.392525,14.289,0.38534,78.099,0.95551,79.055,72.61,0.1677
7.902609,14.2709,0.34129,64.707,0.90049,65.607,60.16,0.1569
8.44789,14.2537,0.30059,53.312,0.84782,54.16,49.55,0.1468
9.030794,14.2373,0.26409,43.815,0.7976,44.613,40.7,0.1373
9.653919,14.2193,0.2306,35.789,0.74986,36.539,33.25,0.1284
10.32004,14.2018,0.20136,29.233,0.70464,29.938,27.16,0.1201
11.03212,14.185,0.17583,23.879,0.66193,24.541,22.19,0.1124
11.79334,14.1691,0.15354,19.507,0.62172,20.129,18.13,0.1051
12.60708,14.1542,0.13408,15.935,0.58398,16.519,14.81,0.09834
13.47697,14.1404,0.11709,13.017,0.54864,13.566,12.1,0.092
14.40688,14.1275,0.10225,10.634,0.51565,11.15,9.884,0.08606
